"publish_date","France","Germany","Italy","Spain","United Kingdom"
2020-01-03,NA,NA,NA,NA,NA
2020-01-04,NA,NA,NA,NA,NA
2020-01-05,NA,NA,NA,NA,NA
2020-01-06,NA,NA,NA,NA,NA
2020-01-07,NA,NA,NA,NA,NA
2020-01-08,NA,NA,NA,NA,NA
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0.142857142857143,0
2020-02-14,0,0,0,0.142857142857143,0
2020-02-15,0.142857142857143,0,0,0.142857142857143,0
2020-02-16,0.142857142857143,0,0,0.142857142857143,0
2020-02-17,0.142857142857143,0,0,0.142857142857143,0
2020-02-18,0.142857142857143,0,0,0.142857142857143,0
2020-02-19,0.142857142857143,0,0,0.142857142857143,0
2020-02-20,0.142857142857143,0,0,0,0
2020-02-21,0.142857142857143,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0.285714285714286,0,0
2020-02-24,0,0,0.285714285714286,0,0
2020-02-25,0,0,0.857142857142857,0,0
2020-02-26,0,0,1.57142857142857,0,0
2020-02-27,0.142857142857143,0,1.71428571428571,0,0
2020-02-28,0.142857142857143,0,2.42857142857143,0,0
2020-02-29,0.142857142857143,0,3,0,0
2020-03-01,0.142857142857143,0,3.85714285714286,0,0
2020-03-02,0.142857142857143,0,4.71428571428571,0,0
2020-03-03,0.285714285714286,0,6.57142857142857,0,0
2020-03-04,0.428571428571429,0,9.85714285714286,0,0
2020-03-05,0.285714285714286,0,13.5714285714286,0.142857142857143,0
2020-03-06,0.714285714285714,0,18.7142857142857,0.428571428571429,0
2020-03-07,1,0,25.1428571428571,0.571428571428571,0.142857142857143
2020-03-08,1.14285714285714,0,29.1428571428571,1,0.285714285714286
2020-03-09,2.42857142857143,0,47.2857142857143,1.42857142857143,0.285714285714286
2020-03-10,3.85714285714286,0.285714285714286,58.8571428571429,3.42857142857143,0.428571428571429
2020-03-11,4.14285714285714,0.285714285714286,78.7142857142857,5.85714285714286,1
2020-03-12,6.28571428571429,0.428571428571429,102.857142857143,9.71428571428571,1
2020-03-13,7.71428571428571,0.714285714285714,124,14.4285714285714,1.28571428571429
2020-03-14,10,0.714285714285714,153,22.7142857142857,1.28571428571429
2020-03-15,11.5714285714286,1.14285714285714,172.571428571429,33.5714285714286,3.85714285714286
2020-03-16,15.4285714285714,1.71428571428571,206.428571428571,48.5714285714286,5.85714285714286
2020-03-17,16.8571428571429,1.57142857142857,242,65.2857142857143,8.85714285714286
2020-03-18,20.2857142857143,1.57142857142857,267.714285714286,89,10.7142857142857
2020-03-19,28,1.42857142857143,307.285714285714,112.285714285714,15.5714285714286
2020-03-20,44.4285714285714,5.42857142857143,341.571428571429,142.428571428571,21.8571428571429
2020-03-21,53,5.71428571428571,394.857142857143,180,26.2857142857143
2020-03-22,67.2857142857143,8.42857142857143,483.714285714286,230.571428571429,31.8571428571429
2020-03-23,78.1428571428571,11.7142857142857,523.571428571429,287.428571428571,35
2020-03-24,101.714285714286,16.1428571428571,559.857142857143,347.428571428571,42.7142857142857
2020-03-25,132.142857142857,19.4285714285714,616.428571428571,419.285714285714,61.4285714285714
2020-03-26,155.142857142857,26.4285714285714,646.714285714286,495.285714285714,83.8571428571429
