"publish_date","region","new_conf","new_deaths","cum_conf","cum_deaths"
2020-01-21,"Total",NA,NA,278,NA
2020-01-22,"Total",31,NA,309,NA
2020-01-23,"Total",262,NA,571,NA
2020-01-24,"Total",259,NA,830,NA
2020-01-25,"Total",467,NA,1297,NA
2020-01-26,"Total",688,NA,1985,NA
2020-01-27,"Total",776,NA,2761,NA
2020-01-28,"Total",1776,NA,4537,NA
2020-01-29,"Total",1460,NA,5997,NA
2020-01-30,"Total",1739,NA,7736,NA
2020-01-31,"Total",1984,NA,9720,NA
2020-02-01,"Hubei",NA,NA,7153,NA
2020-02-01,"Zhejiang",NA,NA,599,NA
2020-02-01,"Guangdong",NA,NA,520,NA
2020-02-01,"Henan",NA,NA,422,NA
2020-02-01,"Hunan",NA,NA,389,NA
2020-02-01,"Anhui",NA,NA,297,NA
2020-02-01,"Jiangxi",NA,NA,286,NA
2020-02-01,"Chongqing",NA,NA,238,NA
2020-02-01,"Sichuan",NA,NA,207,NA
2020-02-01,"Jiangsu",NA,NA,202,NA
2020-02-01,"Shandong",NA,NA,202,NA
2020-02-01,"Beijing",NA,NA,156,NA
2020-02-01,"Shanghai",NA,NA,153,NA
2020-02-01,"Fujian",NA,NA,144,NA
2020-02-01,"Shaanxi",NA,NA,101,NA
2020-02-01,"Guangxi",NA,NA,100,NA
2020-02-01,"Hebei",NA,NA,96,NA
2020-02-01,"Yunnan",NA,NA,91,NA
2020-02-01,"Heilongjiang",NA,NA,80,NA
2020-02-01,"Liaoning",NA,NA,60,NA
2020-02-01,"Hainan",NA,NA,57,NA
2020-02-01,"Shanxi",NA,NA,47,NA
2020-02-01,"Gansu",NA,NA,35,NA
2020-02-01,"Tianjin",NA,NA,34,NA
2020-02-01,"Guizhou",NA,NA,29,NA
2020-02-01,"Ningxia",NA,NA,26,NA
2020-02-01,"Inner Mongolia",NA,NA,23,NA
2020-02-01,"Xinjiang",NA,NA,18,NA
2020-02-01,"Jilin",NA,NA,17,NA
2020-02-01,"Hong Kong SAR",NA,NA,13,NA
2020-02-01,"Taipei",NA,NA,10,NA
2020-02-01,"Qinghai",NA,NA,8,NA
2020-02-01,"Macau SAR",NA,NA,7,NA
2020-02-01,"Xizang",NA,NA,1,NA
2020-02-01,"Total",2101,NA,11821,NA
2020-02-02,"Hubei",1921,NA,9074,NA
2020-02-02,"Zhejiang",62,NA,661,NA
2020-02-02,"Guangdong",84,NA,604,NA
2020-02-02,"Henan",71,NA,493,NA
2020-02-02,"Hunan",74,NA,463,NA
2020-02-02,"Anhui",43,NA,340,NA
2020-02-02,"Jiangxi",47,NA,333,NA
2020-02-02,"Chongqing",24,NA,262,NA
2020-02-02,"Sichuan",29,NA,236,NA
2020-02-02,"Jiangsu",29,NA,231,NA
2020-02-02,"Shandong",23,NA,225,NA
2020-02-02,"Beijing",27,NA,183,NA
2020-02-02,"Shanghai",24,NA,177,NA
2020-02-02,"Fujian",15,NA,159,NA
2020-02-02,"Shaanxi",15,NA,116,NA
2020-02-02,"Guangxi",11,NA,111,NA
2020-02-02,"Hebei",8,NA,104,NA
2020-02-02,"Yunnan",8,NA,99,NA
2020-02-02,"Heilongjiang",15,NA,95,NA
2020-02-02,"Liaoning",4,NA,64,NA
2020-02-02,"Hainan",6,NA,63,NA
2020-02-02,"Shanxi",9,NA,56,NA
2020-02-02,"Gansu",10,NA,45,NA
2020-02-02,"Tianjin",6,NA,40,NA
2020-02-02,"Guizhou",9,NA,38,NA
2020-02-02,"Ningxia",2,NA,28,NA
2020-02-02,"Inner Mongolia",3,NA,26,NA
2020-02-02,"Xinjiang",5,NA,23,NA
2020-02-02,"Jilin",4,NA,21,NA
2020-02-02,"Hong Kong SAR",1,NA,14,NA
2020-02-02,"Taipei",0,NA,10,NA
2020-02-02,"Qinghai",1,NA,9,NA
2020-02-02,"Macau SAR",0,NA,7,NA
2020-02-02,"Xizang",0,NA,1,NA
2020-02-02,"Total",2590,NA,14411,NA
2020-02-03,"Hubei",2103,NA,11177,NA
2020-02-03,"Zhejiang",63,NA,724,NA
2020-02-03,"Guangdong",79,NA,683,NA
2020-02-03,"Henan",73,NA,566,NA
2020-02-03,"Hunan",58,NA,521,NA
2020-02-03,"Anhui",68,NA,408,NA
2020-02-03,"Jiangxi",58,NA,391,NA
2020-02-03,"Chongqing",38,NA,300,NA
2020-02-03,"Jiangsu",40,NA,271,NA
2020-02-03,"Sichuan",18,NA,254,NA
2020-02-03,"Shandong",21,NA,246,NA
2020-02-03,"Beijing",29,NA,212,NA
2020-02-03,"Shanghai",16,NA,193,NA
2020-02-03,"Fujian",20,NA,179,NA
2020-02-03,"Shaanxi",12,NA,128,NA
2020-02-03,"Guangxi",16,NA,127,NA
2020-02-03,"Heilongjiang",23,NA,118,NA
2020-02-03,"Hebei",9,NA,113,NA
2020-02-03,"Yunnan",10,NA,109,NA
2020-02-03,"Liaoning",6,NA,70,NA
2020-02-03,"Hainan",7,NA,70,NA
