code,prefecture,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03,2024-06-10,2024-06-17,2024-06-24,2024-07-01,2024-07-08,2024-07-15,2024-07-22,2024-07-29,2024-08-05,2024-08-12,2024-08-19,2024-08-26,2024-09-02,2024-09-09,2024-09-16,2024-09-30,2024-10-07,2024-10-14,2024-10-21,2024-10-28,2024-11-04,2024-11-11,2024-11-18,2024-11-25,2024-12-02,2024-12-09,2024-12-16,2024-12-23,2024-12-30,2025-01-06,2025-01-13,2025-01-20,2025-01-27,2025-02-03,2025-02-10,2025-02-17,2025-02-24,2025-03-03,2025-03-10,2025-03-17,2025-03-24,2025-03-31,2025-04-07,2025-04-14,2025-04-21,2025-04-28,2025-05-05,2025-05-12,2025-05-19,2025-05-26,2025-06-02,2025-06-09,2025-06-16,2025-06-23,2025-06-30,2025-07-07,2025-07-14,2025-07-21,2025-07-28,2025-08-04,2025-08-11,2025-08-18,2025-08-25,2025-09-01,2025-09-08,2025-09-15,2025-09-22,2025-09-29,2025-10-06,2025-10-13,2025-10-20,2025-10-27,2025-11-03,2025-11-10,2025-11-17,2025-11-24,2025-12-01,2025-12-08,2025-12-15,2025-12-22,2025-12-29,2026-01-05,2026-01-12,2026-01-19,2026-01-26,2026-02-02
00,Total,31864,33384,35720,42917,57969,70050,84040,94925,99024,116688,138746,149107,126005,133920,105767,82625,56136,41094,28384,20151,13174,10675,8544,6781,6227,5785,6569,7018,8526,8910,9007,12922,17489,17864,22432,25163,27614,30255,35747,45108,54150,68601,78502,77937,67070,86756,93792,101289,99744,86510,54346,43705,25630,18587,16075,14125,12065,9941,9648,11499,13583,17379,20511,22529,27987,34035,44178,60268,73607,79605,67614,49821,39124,34488,32236,30316,25727,25179,20968,18297,17937,15786,11086,13652,16230,16554,17401,19719,20561,22754,28614,39874,55072,67334,72003,65699,49208,39295,43267,36891,32443,25985,21400,15195,11717,9165,8359,7752,7246,9406,8948,11945,15163,19233,27120,34610,22357,34857,27755,29920,29869,28662,25413,24343,21790,20041,18927,15872,14354,10132,8138,6852,5360,4227,3604,3694,3229,3227,3544,3455,3841,5405,7615,9263,12069,15924,21365,23126,22288,33275,32197,31329,31831,26631,22640,18587,14303,9900,8665,8777,7542,7372,6302,5552,4835,4653,4778,5068,3629,5994,5833,7573,9480,10286
01,Hokkaido,2976,3874,4747,6754,7868,9506,9979,9137,7645,6580,6081,5352,3721,3761,2859,2146,1747,1328,1027,710,629,570,474,399,327,395,542,604,793,828,734,964,1203,1264,1482,1429,1261,1155,1332,1488,1859,1971,1979,2285,2508,4388,4275,4516,4027,3344,2302,2358,1850,1493,1535,1599,1471,1327,1351,1494,1542,1768,2103,2416,2751,2281,2369,2425,3089,3465,3363,2319,1886,1626,1291,1116,1009,971,860,871,856,829,731,859,1182,1080,1207,1488,1393,1099,1086,1110,1074,1191,1326,1567,1649,2046,2530,2139,1833,1313,1092,941,880,844,864,745,849,1059,1220,1704,2067,2660,3196,3746,2178,2337,1470,1454,1406,1716,1359,1312,1161,1004,916,747,638,479,401,301,294,265,232,196,144,132,124,86,90,98,100,108,176,205,292,410,577,731,797,808,816,657,608,605,538,539,516,645,564,665,591,539,563,597,735,816,650,874,821,1012,1280,1359
02,Aomori,399,462,515,666,816,897,1392,1475,1496,1560,1738,1575,1001,1126,727,475,326,221,131,131,86,97,99,76,73,102,80,109,117,162,148,196,165,184,206,208,191,253,269,261,243,350,494,817,991,1556,1878,1649,1251,967,600,421,276,175,163,143,156,167,148,106,154,210,245,227,345,353,322,376,488,634,625,643,557,540,609,559,528,458,476,426,410,343,319,245,219,192,154,176,112,111,105,138,152,222,299,388,522,796,1038,843,739,546,320,160,136,102,126,160,150,209,214,306,350,363,377,498,443,499,369,436,459,393,342,338,233,272,225,207,159,137,113,61,79,62,45,41,30,17,23,18,15,42,35,54,87,96,118,219,338,388,400,414,345,183,171,153,117,166,187,192,182,164,155,88,82,73,70,96,83,95,111,192,227,207
03,Iwate,596,590,810,1058,1278,1335,1724,2007,1804,1977,2185,2382,1457,1491,1153,941,623,448,390,326,298,212,136,110,75,70,118,136,155,147,154,196,398,376,406,307,299,352,395,424,440,669,822,979,1014,1886,1966,2220,1882,1351,757,586,411,282,249,243,198,165,132,175,213,223,202,238,389,471,631,667,1026,985,1084,744,694,675,665,688,580,559,564,488,456,388,251,284,284,193,170,211,192,220,288,353,427,608,788,899,762,949,1004,973,846,637,423,306,221,255,197,186,219,351,401,517,517,662,804,929,747,795,583,488,465,461,335,287,248,218,207,198,216,152,111,104,77,55,54,66,28,26,34,26,37,24,33,47,74,79,169,236,284,344,371,384,359,236,239,236,184,133,133,162,164,146,120,116,85,115,112,143,93,135,121,179,307,401
04,Miyagi,488,622,654,884,1431,1675,2271,2506,2594,2805,2617,2471,1619,1562,1297,1126,880,625,485,402,278,215,197,125,121,91,89,108,125,191,144,280,396,449,467,464,445,425,551,716,921,1360,1675,1717,1396,1878,2688,2961,2955,2072,1049,765,394,286,324,279,227,172,150,156,162,271,332,335,350,494,720,1166,1709,1748,1731,1320,1095,1198,1101,1088,876,825,797,596,548,454,236,266,305,226,304,271,250,287,347,417,726,947,1105,1229,1076,679,1278,1080,1248,983,634,426,315,210,209,194,172,238,284,329,366,499,848,949,401,1091,782,840,764,648,584,491,378,420,401,372,366,219,113,88,71,75,54,55,63,41,39,27,39,48,67,117,146,166,204,286,213,553,583,704,687,483,428,354,260,209,258,225,186,143,158,114,103,157,114,142,89,180,181,231,296,285
05,Akita,840,967,1113,1102,1597,1562,1959,2053,2152,2273,2035,1597,1180,1214,845,629,454,318,247,194,110,159,104,94,62,101,138,121,168,219,226,159,220,219,190,136,146,161,174,253,226,324,367,420,611,1481,1390,1561,1242,917,469,339,186,171,179,163,159,117,162,128,117,147,171,195,240,350,319,397,482,553,555,478,474,510,512,536,516,626,563,458,360,334,253,217,223,213,132,166,129,91,105,111,163,333,350,421,472,655,751,645,631,455,332,202,163,128,153,184,214,323,406,485,484,483,490,487,106,441,316,263,318,288,264,220,172,133,119,130,80,91,70,43,38,40,33,24,16,22,24,18,7,13,23,39,44,75,104,135,257,220,236,227,205,150,153,127,103,97,83,84,100,92,107,104,49,39,45,61,73,69,74,94,79,88
06,Yamagata,455,663,716,792,937,1291,1228,1191,1085,1151,1113,912,594,529,422,372,284,264,228,164,92,134,166,83,56,68,73,110,91,86,100,137,178,141,213,183,178,160,171,238,231,320,464,534,485,696,883,1064,856,670,314,283,169,126,105,103,95,91,111,119,126,178,151,155,209,193,292,466,647,681,674,549,480,530,480,452,284,308,285,272,293,221,97,122,114,115,99,110,70,63,113,131,181,265,336,417,416,310,521,581,548,427,205,129,102,82,82,65,58,91,107,104,149,158,231,308,119,313,249,276,228,197,152,104,104,126,128,120,138,163,148,117,100,60,56,55,33,27,16,17,11,16,28,37,37,85,118,147,209,344,381,372,337,292,207,162,140,88,92,129,83,94,76,73,56,71,64,71,68,88,102,199,264,219
07,Fukushima,859,892,878,1303,1896,2428,3092,3529,3357,3523,3672,3064,2350,2828,2037,1542,1098,857,647,461,412,363,254,257,279,248,177,180,180,212,289,258,342,293,263,325,308,418,509,543,686,981,1118,1164,1149,2072,2121,2265,1979,1499,918,749,421,419,404,341,273,176,192,258,331,365,364,425,589,926,992,1557,1963,2008,1573,1100,844,813,745,704,509,514,402,363,350,252,189,194,227,201,198,197,155,156,262,345,507,772,915,992,923,1161,1145,1110,929,782,470,334,253,226,178,184,181,261,267,299,310,485,599,764,1091,941,769,780,668,586,548,495,457,470,468,395,353,258,119,119,83,63,60,48,25,24,35,20,31,30,51,76,100,131,156,253,373,498,460,530,412,348,262,230,192,185,188,182,161,155,162,122,83,140,184,150,213,221,195,214,290,256
08,Ibaraki,868,913,910,1140,1523,2384,2629,3045,3568,4073,5273,4950,4555,4759,3720,3111,1991,1450,899,598,375,277,235,179,158,148,188,216,224,214,200,325,535,460,601,596,707,778,902,948,1239,1703,2004,2086,1952,3290,3216,3329,3051,2487,1743,1287,821,544,473,345,309,254,227,325,365,558,649,765,1051,1472,1691,2199,2538,2695,2364,1855,1404,1186,1012,945,821,746,598,484,409,372,301,325,425,444,466,468,529,633,815,1069,1300,1596,1746,1714,1588,1541,1618,1265,1124,900,799,656,473,325,291,300,221,249,234,328,447,659,1162,1416,1221,1357,1023,1052,912,952,931,875,746,722,767,634,582,380,198,193,146,81,69,59,85,67,84,70,85,154,209,212,274,400,503,564,674,819,670,587,611,597,495,397,310,241,189,195,162,181,120,126,141,130,145,122,134,177,158,218,328,322
09,Tochigi,496,493,515,660,990,1163,1584,1854,2151,2330,2782,2440,1995,1842,1663,1494,1040,827,522,415,245,258,204,145,102,125,136,116,119,116,119,201,233,248,270,266,260,301,413,458,508,744,937,963,834,1291,1778,1872,1939,1585,884,681,431,264,287,234,217,187,177,175,216,298,353,388,414,480,790,1265,1597,1557,1338,1058,790,660,556,561,408,381,388,360,287,274,130,191,282,258,273,247,239,276,340,392,622,790,856,806,862,610,848,768,695,590,462,350,230,175,133,146,115,151,147,172,282,337,592,844,387,819,620,647,554,554,466,498,448,461,396,340,324,212,152,71,73,59,30,43,38,39,32,34,42,78,95,94,120,190,246,320,302,439,417,398,431,286,256,231,211,133,121,170,128,126,89,139,120,114,94,110,63,158,180,277,319,335
