code,prefecture,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-15,2024-04-22,2024-04-29,2024-05-06,2024-05-13,2024-05-20,2024-05-27,2024-06-03,2024-06-10,2024-06-17,2024-06-24,2024-07-01,2024-07-08,2024-07-15,2024-07-22,2024-07-29,2024-08-05,2024-08-12,2024-08-19,2024-08-26,2024-09-02,2024-09-09
00,Total,6.37,6.67,7.14,8.58,11.58,14,16.79,18.97,19.79,23.32,27.73,29.8,25.18,26.76,21.14,16.51,11.22,8.21,5.67,4.03,2.63,2.13,1.71,1.36,1.24,1.16,1.31,1.4,1.7,1.78,1.8,2.63,3.56,3.63,4.55,5.109999999999999,5.6,6.13,7.24,9.139999999999999,11.04,13.91,15.91,15.81,14.16,17.84,19.07,20.5,20.19,17.54,11.01,8.83,5.2,3.7600000000000002,3.25,2.86,2.44,2.01,1.95,2.3299999999999996,2.75,3.52,4.1499999999999995,4.57,5.79,6.96,8.96,12.229999999999999,14.93,16.150000000000002,13.75,10.1,7.92,6.99,6.53,6.1499999999999995,5.21,5.1,4.26,3.71,3.64,3.22,2.27,2.7600000000000002,3.2800000000000002,3.3499999999999996,3.52,3.9899999999999998,4.159999999999999,4.609999999999999,5.79,8.07,11.18,13.62,14.58,13.29,10.48,8.5,8.8,7.46,6.57,5.28
01,Hokkaido,13.47,17.53,21.48,30.56,35.6,43.01,45.15,41.34,34.59,29.77,27.52,24.22,16.84,17.02,12.94,9.71,7.9,6.01,4.65,3.21,2.85,2.58,2.14,1.81,1.48,1.79,2.45,2.73,3.59,3.75,3.32,4.359999999999999,5.44,5.72,6.71,6.470000000000001,5.71,5.23,6.03,6.73,8.450000000000001,8.92,8.83,10.16,11.2,19.59,19.08,20.25,17.9,14.860000000000001,10.28,10.43,8.19,6.609999999999999,6.79,7.08,6.51,5.87,5.98,6.609999999999999,6.819999999999999,7.819999999999999,9.31,10.69,12.28,10.42,10.53,10.78,13.729999999999999,15.4,14.950000000000001,10.31,8.38,7.26,5.76,4.98,4.5,4.35,3.86,3.9099999999999997,3.84,3.72,3.38,3.8499999999999996,5.3,4.84,5.44,6.67,6.25,4.95,4.87,4.98,4.819999999999999,5.34,5.95,7.03,7.74,9.79,11.4,9.639999999999999,8.26,5.89
02,Aomori,6.65,7.7,8.58,11.1,13.6,14.95,23.2,24.58,24.93,26,28.97,26.25,16.68,18.77,12.12,7.92,5.43,3.68,2.18,2.18,1.43,1.62,1.65,1.27,1.22,1.7,1.33,1.82,1.95,2.7,2.47,3.27,2.75,3.07,3.4299999999999997,3.4699999999999998,3.18,4.22,4.48,4.35,4.05,5.83,8.229999999999999,13.62,16.52,25.93,31.3,27.479999999999997,20.85,16.12,10,7.02,4.6,2.92,2.72,2.38,2.6,2.7800000000000002,2.4699999999999998,1.77,2.57,3.5,4.08,3.7800000000000002,5.75,5.98,5.46,6.37,8.27,10.75,10.78,10.9,9.44,9.15,10.5,9.639999999999999,9.1,7.9,8.209999999999999,7.34,7.07,6.02,5.7,4.22,3.7800000000000002,3.3099999999999996,2.66,3.03,1.93,1.91,1.81,2.42,2.67,3.8899999999999997,5.159999999999999,6.6899999999999995,9,13.719999999999999,17.9,14.53,12.739999999999998,9.41
03,Iwate,9.46,9.37,12.86,16.79,20.29,21.19,27.37,31.86,28.63,31.38,34.68,37.81,23.13,23.67,18.3,14.94,9.89,7.11,6.19,5.17,4.73,3.37,2.16,1.75,1.19,1.11,1.87,2.16,2.46,2.33,2.44,3.11,6.319999999999999,5.970000000000001,6.44,4.87,4.75,5.59,6.2700000000000005,6.73,6.98,10.79,13.26,15.79,16.9,30.419999999999998,31.71,35.24,29.87,21.439999999999998,12.02,9.3,6.52,4.48,3.9499999999999997,3.86,3.14,2.62,2.1,2.7800000000000002,3.38,3.54,3.2600000000000002,3.84,6.2700000000000005,7.72,10.34,10.93,16.82,16.150000000000002,18.07,12.4,11.57,11.07,10.9,11.28,9.51,9.16,8.950000000000001,7.75,7.24,6.159999999999999,3.98,4.51,4.51,3.06,2.7,3.3499999999999996,3.05,3.4899999999999998,4.57,5.6,6.78,9.65,12.51,14.27,12.1,15.06,15.94,15.44,13.43,10.11
04,Miyagi,5.55,7.07,7.43,10.05,16.26,19.03,25.81,28.48,29.48,31.88,29.74,28.08,18.4,17.75,14.74,12.8,10,7.1,5.51,4.57,3.16,2.44,2.24,1.42,1.38,1.03,1.01,1.23,1.42,2.17,1.64,3.18,4.5,5.1,5.31,5.1,4.89,4.67,6.05,7.87,10.12,14.950000000000001,18.41,18.87,15.51,20.64,29.54,32.54,32.47,22.77,11.53,8.41,4.33,3.14,3.56,3.07,2.4899999999999998,1.8900000000000001,1.6500000000000001,1.71,1.78,2.98,3.65,3.68,3.8499999999999996,5.430000000000001,7.91,12.81,18.779999999999998,19.21,19.02,14.51,12.03,13.16,12.1,11.96,9.629999999999999,9.07,8.96,6.7,6.159999999999999,5.04,2.62,2.96,3.3899999999999997,2.48,3.34,2.98,2.75,3.15,3.8099999999999996,4.58,7.98,10.41,12.139999999999999,13.51,11.82,7.46,14.04,11.870000000000001,13.709999999999999,10.8
05,Akita,16.15,18.6,21.4,21.19,30.71,30.04,37.67,39.48,41.38,43.71,39.13,30.71,22.69,23.35,16.25,12.1,8.73,6.12,4.75,3.73,2.12,3.06,2,1.81,1.19,1.94,2.65,2.33,3.23,4.21,4.35,3.06,4.23,4.21,3.65,2.62,2.8099999999999996,3.1,3.3499999999999996,4.87,4.35,6.35,7.06,8.08,11.75,28.479999999999997,26.73,30.610000000000003,23.88,17.630000000000003,9.02,6.52,3.58,3.29,3.44,3.13,3.06,2.25,3.12,2.46,2.25,2.8299999999999996,3.29,3.75,4.71,7.14,6.25,7.78,9.450000000000001,10.84,11.1,9.370000000000001,9.29,10,10.04,10.51,10.12,12.27,10.83,8.81,6.92,6.42,4.87,4.17,4.29,4.1,2.54,3.19,2.48,1.75,2.02,2.13,3.13,6.53,6.73,8.1,9.83,12.84,14.44,12.65,12.129999999999999,8.75
06,Yamagata,10.58,15.42,16.65,18.42,21.79,30.02,28.56,27.7,25.23,26.77,25.88,21.21,13.81,12.3,9.81,8.65,6.6,6.14,5.3,3.81,2.14,3.12,3.86,1.93,1.3,1.58,1.7,2.56,2.12,2,2.33,3.19,4.14,3.2800000000000002,4.95,4.26,4.14,3.72,3.98,5.53,5.37,7.44,10.79,12.42,11.55,16.19,20.53,24.74,19.91,15.58,7.3,6.58,4.02,3,2.44,2.4,2.21,2.12,2.58,2.77,2.9299999999999997,4.14,3.51,3.6,4.859999999999999,4.49,6.79,10.84,15.05,15.84,15.67,12.77,11.16,12.33,11.16,10.51,6.6,7.159999999999999,6.63,6.33,6.81,5.14,2.2600000000000002,2.84,2.65,2.67,2.3,2.56,1.6300000000000001,1.47,2.63,3.12,4.41,6.159999999999999,7.81,9.7,9.9,9.12,12.12,13.51,12.739999999999998,9.93
07,Fukushima,10.48,10.88,10.71,15.89,23.12,29.61,37.71,43.04,40.94,42.96,44.78,37.37,28.66,34.49,24.84,18.8,13.39,10.45,7.89,5.62,5.02,4.43,3.1,3.13,3.4,3.02,2.16,2.2,2.2,2.59,3.52,3.15,4.17,3.57,3.21,3.96,3.7600000000000002,5.1,6.21,6.619999999999999,8.370000000000001,11.96,13.629999999999999,14.2,14.01,25.27,25.87,27.62,24.130000000000003,18.279999999999998,11.2,9.129999999999999,5.13,5.109999999999999,4.930000000000001,4.159999999999999,3.3299999999999996,2.15,2.34,3.15,4.04,4.45,4.44,5.18,7.18,11.29,12.1,18.99,23.939999999999998,24.49,19.18,13.41,10.29,9.91,9.09,8.59,6.21,6.2700000000000005,4.9,4.430000000000001,4.2700000000000005,3.07,2.3,2.3699999999999997,2.77,2.4499999999999997,2.4099999999999997,2.4,1.8900000000000001,1.9,3.2,4.21,6.18,9.41,11.16,12.1,11.26,14.16,13.96,13.54,11.33,9.54
08,Ibaraki,7.23,7.61,7.58,9.5,12.69,19.87,21.91,25.38,29.73,33.94,43.94,41.25,37.96,39.66,31,25.92,16.59,12.08,7.49,4.98,3.12,2.31,1.96,1.49,1.32,1.23,1.57,1.8,1.87,1.78,1.67,2.71,4.46,3.8299999999999996,5.01,4.970000000000001,5.89,6.48,7.52,7.9,10.33,14.19,16.7,17.38,16.27,27.419999999999998,26.8,27.74,25.43,20.73,14.53,10.729999999999999,6.84,4.53,3.94,2.88,2.58,2.12,1.8900000000000001,2.71,3.04,4.6499999999999995,5.41,6.38,8.76,12.27,14.209999999999999,18.330000000000002,21.150000000000002,22.459999999999997,19.7,15.46,11.7,9.88,8.43,7.88,6.84,6.22,4.98,4.03,3.4099999999999997,3.1,2.51,2.71,3.54,3.7,3.88,3.9,4.41,5.28,6.79,8.91,10.83,13.3,14.8,14.28,13.34,14.27,13.48,10.54,9.370000000000001,7.5
09,Tochigi,6.53,6.49,6.78,8.68,13.03,15.3,20.84,24.39,28.3,30.66,36.61,32.11,26.25,24.24,21.88,19.66,13.68,10.88,6.87,5.46,3.22,3.39,2.68,1.91,1.34,1.64,1.79,1.53,1.57,1.53,1.57,2.64,3.07,3.2600000000000002,3.55,3.5,3.42,3.96,5.430000000000001,6.03,6.68,9.79,12.33,12.67,11.12,16.99,23.39,24.630000000000003,25.51,20.86,11.629999999999999,8.96,5.67,3.4699999999999998,3.7800000000000002,3.08,2.86,2.46,2.3299999999999996,2.3,2.84,3.92,4.64,5.109999999999999,5.45,6.319999999999999,10.39,16.64,21.01,20.49,17.610000000000003,13.92,10.39,8.68,7.319999999999999,7.38,5.37,5.01,5.109999999999999,4.74,3.7800000000000002,3.61,1.71,2.51,3.71,3.3899999999999997,3.59,3.29,3.19,3.63,4.470000000000001,5.159999999999999,8.18,10.39,11.26,10.61,12.49,8.239999999999998,11.16,10.239999999999998,9.27,7.970000000000001
